x, y, head, bump, ifr, batt
34, 28, -90.0, 0, 0, 1000.0
33, 28, -265.3, 0, 0, 998.5
33, 28, -265.3, 1, 0, 997.5
32, 28, -229.1, 0, 0, 996.0
32, 28, -229.1, 1, 0, 995.5
32, 28, 12.8, 0, 0, 994.0
33, 28, 12.8, 0, 0, 992.6
34, 28, 12.8, 0, 0, 991.2
35, 28, 12.8, 0, 0, 989.8
35, 28, 12.8, 1, 0, 988.5
35, 28, 75.2, 0, 0, 987.0
35, 28, 75.2, 1, 0, 986.5
35, 28, 44.8, 0, 0, 985.0
35, 28, 44.8, 1, 0, 984.5
35, 27, 347.4, 0, 3, 983.0
35, 27, 347.4, 0, 2, 982.5
35, 27, 347.4, 0, 1, 982.0
35, 27, 347.4, 0, 0, 981.5
36, 27, 0.0, 0, 0, 980.4
36, 28, 90.0, 0, 0, 978.9
35, 28, 180.0, 0, 0, 977.4
35, 27, 270.0, 0, 0, 975.9
36, 27, 0.0, 0, 0, 974.4
36, 28, 90.0, 0, 0, 972.9
36, 28, 90.0, 1, 0, 971.5
35, 28, 180.0, 0, 0, 970.0
34, 28, 180.0, 0, 0, 968.6
34, 27, 270.0, 0, 0, 967.1
34, 26, 270.0, 0, 0, 965.7
35, 26, 0.0, 0, 0, 964.2
36, 26, 0.0, 0, 0, 962.8
36, 27, 90.0, 0, 0, 961.3
36, 28, 90.0, 0, 0, 959.9
35, 28, 180.0, 0, 0, 958.4
34, 28, 180.0, 0, 0, 957.0
33, 28, 180.0, 0, 0, 955.6
33, 27, 270.0, 0, 3, 954.1
33, 27, 270.0, 0, 2, 953.6
33, 27, 270.0, 0, 1, 953.1
33, 27, 270.0, 0, 0, 952.6
33, 26, 270.0, 0, 0, 951.2
33, 25, 270.0, 0, 0, 949.8
34, 25, 0.0, 0, 0, 948.3
35, 25, 0.0, 0, 0, 946.9
36, 25, 0.0, 0, 0, 945.5
36, 26, 90.0, 0, 0, 944.0
36, 27, 90.0, 0, 0, 942.6
36, 28, 90.0, 0, 0, 941.2
35, 28, 180.0, 0, 0, 939.7
34, 28, 180.0, 0, 0, 938.3
33, 28, 180.0, 0, 0, 936.9
33, 27, 270.0, 0, 0, 935.4
33, 26, 270.0, 0, 0, 934.0
33, 25, 270.0, 0, 0, 932.6
33, 24, 270.0, 0, 0, 931.2
34, 24, 0.0, 0, 0, 929.7
35, 24, 0.0, 0, 0, 928.3
36, 24, 0.0, 0, 0, 926.9
37, 24, 0.0, 0, 0, 925.5
37, 25, 90.0, 0, 0, 924.0
37, 26, 90.0, 0, 0, 922.6
37, 27, 90.0, 0, 0, 921.2
37, 28, 90.0, 0, 0, 919.8
36, 28, 180.0, 0, 0, 918.3
35, 28, 180.0, 0, 0, 916.9
34, 28, 180.0, 0, 0, 915.5
33, 28, 180.0, 0, 0, 914.1
33, 27, 270.0, 0, 0, 912.6
33, 26, 270.0, 0, 0, 911.2
33, 25, 270.0, 0, 0, 909.8
33, 24, 270.0, 0, 0, 908.4
33, 24, 39.1, 0, 0, 906.8
34, 25, 39.1, 0, 0, 905.4
35, 25, 39.1, 0, 0, 904.0
36, 26, 39.1, 0, 0, 902.6
36, 27, 39.1, 0, 0, 901.2
37, 27, 39.1, 0, 0, 899.8
38, 28, 39.1, 0, 0, 898.4
